County Name,State Fiscal Year,Ticket Sales,Prizes Paid,Retailer Commissions,FIPS County Code,Latitude,Longitude,Georeferenced Latitude & Longitude
Mifflin,2018-2019,17991385,12407085,1057805,42087,40.61274928,-77.62003089,POINT (-77.62003089 40.61274928)
Perry,2015-2016,12620683,7444991,670329,42099,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Lawrence,2018-2019,34400115,23455389,2043193,42073,40.99325035,-80.33754114,POINT (-80.33754114 40.99325035)
Warren,2018-2019,17303274,11675558,1027921,42123,41.81675237,-79.27858158,POINT (-79.27858158 41.81675237)
Northampton,2014-2015,72870960,43555261,3874508,42095,40.7545954,-75.31263726,POINT (-75.31263726 40.7545954)
Westmoreland,2013-2014,137750605,83658661,7350020,42129,40.310315,-79.47134118,POINT (-79.47134118 40.310315)
Sullivan,2016-2017,1401705,856754,74961,42113,41.4480994,-76.5147922,POINT (-76.5147922 41.4480994)
Perry,2010-2011,9579218,5813178,508865,42099,40.40415317,-77.25907385,POINT (-77.25907385 40.40415317)
Chester,2015-2016,104756034,58493225,5496516,42029,39.97487056,-75.75626498,POINT (-75.75626498 39.97487056)
Berks,2013-2014,108378619,69951533,5820252,42011,40.41939635,-75.93077327,POINT (-75.93077327 40.41939635)
Allegheny,2016-2017,415113339,256363999,21817532,42003,40.46735543,-79.98619843,POINT (-79.98619843 40.46735543)
Columbia,2011-2012,20158093,12111465,1083783,42037,41.04912086,-76.4100218,POINT (-76.4100218 41.04912086)
Delaware,2013-2014,148660090,161033390,7809606,42045,39.91657867,-75.40627712,POINT (-75.40627712 39.91657867)
Bradford,2015-2016,22120428,13674113,1179470,42015,41.79117814,-76.51825624,POINT (-76.51825624 41.79117814)
Blair,2018-2019,68720781,46122358,3794694,42013,40.48555024,-78.34907687,POINT (-78.34907687 40.48555024)
Crawford,2017-2018,25088518,17756564,1364168,42039,41.68546907,-80.11321083,POINT (-80.11321083 41.68546907)
Huntingdon,2017-2018,15205232,10275203,821960,42061,40.416105,-77.9827661,POINT (-77.9827661 40.416105)
Out Of Country,2011-2012,,548,,,,,
Schuylkill,2016-2017,68723654,44737132,3650686,42107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Mckean,2010-2011,9660571,5981106,510552,42083,41.81037074,-78.5712202,POINT (-78.5712202 41.81037074)
Wyoming,2014-2015,5974510,3553951,324559,42131,41.51892488,-76.01813003,POINT (-76.01813003 41.51892488)
Cambria,2010-2011,59310487,38184724,3146894,42021,40.49127491,-78.71894174,POINT (-78.71894174 40.49127491)
Carbon,2012-2013,22370119,13654258,1190143,42025,40.91936701,-75.71107039,POINT (-75.71107039 40.91936701)
Fulton,2013-2014,2601861,1371667,139668,42057,39.92487511,-78.11485045,POINT (-78.11485045 39.92487511)
Fayette,2013-2014,55368724,32891560,2970161,42051,39.9194478,-79.65189635,POINT (-79.65189635 39.9194478)
Lancaster,2017-2018,128193962,86920896,6991667,42071,40.04590796,-76.25138768,POINT (-76.25138768 40.04590796)
Potter,2010-2011,4496228,3056628,239480,42105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Lebanon,2014-2015,30371591,18323969,1635790,42075,40.367597,-76.46182575,POINT (-76.46182575 40.367597)
Centre,2015-2016,29933227,18740062,1590356,42027,40.9193135,-77.82500112,POINT (-77.82500112 40.9193135)
Philadelphia,2011-2012,500565887,290428295,25922711,42101,40.00444354,-75.140236,POINT (-75.140236 40.00444354)
Luzerne,2012-2013,127996640,82202356,6860143,42079,41.17836439,-75.9919961,POINT (-75.9919961 41.17836439)
Butler,2013-2014,57192368,35010500,3065453,42019,40.91083185,-79.91711779,POINT (-79.91711779 40.91083185)
Lackawanna,2012-2013,88065943,58072603,4720583,42069,41.43910064,-75.61218345,POINT (-75.61218345 41.43910064)
Tioga,2012-2013,15590494,9834402,833349,42117,41.77333834,-77.25788076,POINT (-77.25788076 41.77333834)
Elk,2018-2019,12315499,7782870,739342,42047,41.42819416,-78.64947713,POINT (-78.64947713 41.42819416)
Venango,2013-2014,18320775,11617595,989914,42121,41.40341259,-79.76286561,POINT (-79.76286561 41.40341259)
Potter,2015-2016,5142235,6203238,274654,42105,41.74420644,-77.89879229,POINT (-77.89879229 41.74420644)
Erie,2016-2017,86397552,56885066,4587332,42049,41.99413787,-80.0407591,POINT (-80.0407591 41.99413787)
Wayne,2017-2018,16615689,10407237,884583,42127,41.64969805,-75.3051535,POINT (-75.3051535 41.64969805)
Schuylkill,2011-2012,62088733,39640382,3322380,42107,40.70751243,-76.22332385,POINT (-76.22332385 40.70751243)
Out Of State,2014-2015,,5977632,,,,,
Lycoming,2014-2015,44662171,27447205,2416759,42081,41.34459792,-77.06942457,POINT (-77.06942457 41.34459792)
Fayette,2017-2018,59442557,37796234,3179472,42051,39.9194478,-79.65189635,POINT (-79.65189635 39.9194478)
